,Review,Label
11681,"i've already written a review for part 1 and i have the same opinion about this one. the course is rather poor and not challenging. only general information about relevant topics that as well read on wikipedia. no exercises, no code assignments. a lot of this content was repeated from first two parts of this specialization.",0
104278,"i was unable to complete this course, because the course required at least two years of programming knowledge prior to enrolling. i was confident that i could learn while taking the course, but i continually failed to pass the quizzes in the second of five courses. it was very confusing and the questions were cryptic",0
71811,"unfortunately i think the level for this course is very low and not worth paying for, it has a very local perspective of logistics (not involving international logistics but only us operations), there's no communication with the professor or assistants, so it's basically watching a few very short videos explaining general concepts that apply only to certain types of operations.the assignments are very vague, with no requirements or restrictions provided, basically anyone can write anything and as long as you follow the requested format it will be graded ok; grading is not based content and therefore there's no way to know whether you're learning and applying the concepts properly or not.wouldn't recommend paying for it.",0
29800,"its ok, i didn't learn a little and i didn't learn a lot.",1
32494,thank you to all the members of course on this great effort has been spectacular and of course benefited him a lot and was very entertaining explanation you are great,2
50338,"this is an excellent course for journalists around the world, who want to improve english focused in our profession . i recommend it 100%",2
69142,thoroughly disappointed to see this course based on,0
32380,best course in the specialization so far!,2
29383,"a waste of money. only $50, but it was so terrible i did not even want to finish it. and apparently i waited too long to get a refund as well. never again.",0
86369,the way dr. chuck teaches and shares his knowledge is way too much fun and easy to understand. made me to think that python is easy to work and more enjoyable. thanks to dr. chuck and coursera.please carry on with your great service to the online community!!,2
38653,i should say that this course is the best for beginner learner requirement,2
5039,"i had a really great time with this course. a lot of work went into it, from the presentation to the content. really well done. it was quite challenging. i felt that the last module (7) introduced some very difficult concepts which, even after checking other sources, i couldn't understand fully. some questions from the exam in that module were substantially different from the ones in the lectures. i would give 4.5 stars if i could.",2
85516,i love how this instructor runs the corse.,2
65177,good course.,1
14307,"not really specific, just a broad indtroduction to data analysis.",1
104767,"this course seems weirdly balanced between assuming one knows very little about statistics while also assuming one is intimately familiar with statistics notation and terminology. it would probably be better if the data science track had an optional ""intro to statistics"" class that can take more time to let students familiarize themselves with the terminology, and then a separate ""ins and outs of probability testing in r"" for those already familiar. this course seems to try and bite off more than it can chew by attempting to be both at the same time.still, the lectures are interesting and the material is important to learn / cover.",0
33700,it was very useful!thank you!,2
95509,the course is very interesting. the jupiter notebook is very useful.i don't like that many examples are very us-specific. some important terms may not be clear for people who live outside usa.update: i'm lowering my grade from 4 stars to 3 stars because of very confusing assignments. often it's not clear the requirement of the task. it takes very long to understand. also some assignments require methods and functions that were not covered in video lectures.,1
